category,city_name,law_name,hyperlink,state_code
Renters,Dallas,Texas Property Code Ch.92 - Habitability,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm,TX
Renters,Dallas,Texas Property Code 92.056 - Repairs After Notice,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm#92.056,TX
Renters,Dallas,Texas Property Code 92.103 - Security Deposit Return 30 Days,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm#92.103,TX
Renters,Dallas,Texas Eviction Law - Non-Payment and Lease Violations,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.24.htm,TX
Pet Policy,Dallas,Texas Pet Law - Lease Controls All Pet Rules,https://texaslawhelp.org/article/pets-and-leases,TX
ESA,Dallas,HUD - ESA and Service Animals No Fees Required,https://www.hud.gov/program_offices/fair_housing_equal_opp/assistance_animals,TX
Renters,Austin,Texas Property Code Ch.92 - Habitability Austin,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm,TX
Renters,Austin,Texas Property Code 92.103 - Security Deposit Return Austin,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm#92.103,TX
Pet Policy,Austin,Texas Pet Law - Lease Controls Pet Rules Austin,https://texaslawhelp.org/article/pets-and-leases,TX
ESA,Austin,HUD - ESA and Service Animals No Fees Austin,https://www.hud.gov/program_offices/fair_housing_equal_opp/assistance_animals,TX
Renters,Houston,Texas Property Code Ch.92 - Habitability Houston,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm,TX
Renters,Houston,Texas Property Code 92.103 - Security Deposit Return Houston,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm#92.103,TX
Renters,Houston,Texas Property Code 92.104 - Itemized Deposit Deductions Houston,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm#92.104,TX
Pet Policy,Houston,Texas Pet Law - Lease Controls Pet Rules Houston,https://texaslawhelp.org/article/pets-and-leases,TX
ESA,Houston,HUD - ESA and Service Animals No Fees Houston,https://www.hud.gov/program_offices/fair_housing_equal_opp/assistance_animals,TX
Renters,San Antonio,Texas Property Code Ch.92 - Habitability San Antonio,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm,TX
Renters,San Antonio,Texas Property Code 92.103 - Security Deposit Return San Antonio,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm#92.103,TX
Pet Policy,San Antonio,Texas Pet Law - Lease Controls Pet Rules San Antonio,https://texaslawhelp.org/article/pets-and-leases,TX
ESA,San Antonio,HUD - ESA and Service Animals No Fees San Antonio,https://www.hud.gov/program_offices/fair_housing_equal_opp/assistance_animals,TX
Rent Control,Texas,Texas No Rent Control - Statewide,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm,TX
Renters,Texas,Texas Security Deposit 30 Days - Statewide Rule,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm#92.103,TX
ESA,Texas,Fair Housing Act - ESA Protected Statewide All Cities,https://www.hud.gov/program_offices/fair_housing_equal_opp/assistance_animals,TX
